athlete,partner,activity_type,amount,from_mbr,to_mbr
51805378,1010986,Virtual Ride,1,"-11.654724,166.935567","-11.663628,166.971654"
7082608,1010986,Virtual Ride,1,"-11.654724,166.935567","-21.7449,166.148255"
37126638,10536800,Run,1,"50.99653,8.112518","28.562882,77.028811"
39487043,10536800,Run,1,"50.99653,8.112518","23.059105,72.68815"
7429518,10579852,Race,1,"52.050803,1.162824","47.128541,0.690571"
850495,1059089,Ride,1,"47.259093,8.759999","45.6763,13.333164"
14167173,10713303,Ride,133,"-17.90795,-40.349699","-17.90795,-40.34974"
14167173,10713303,Walk,1,"-17.90795,-40.349699","-17.90795,-40.34974"
19057907,10713303,Ride,1,"-17.90795,-40.349699","-17.906421,-41.837622"
22921506,10713303,Ride,13,"-17.90795,-40.349699","-17.852146,-40.403852"
18486849,10776847,Ride,1,"51.400699,-0.34269","-8.099836,-34.892005"
25188939,10776847,Ride,1,"51.400699,-0.34269","28.58694,77.189708"
37548888,10776847,Ride,1,"51.400699,-0.34269","40.750256,-73.985473"
44960332,10776847,Ride,1,"51.400699,-0.34269","5.563518,-0.165915"
63144272,10776847,Ride,1,"51.400699,-0.34269","40.767138,-73.980198"
7546761,10882364,Workout,2,"-13.666665,-57.894007","-13.78517,-57.90881"
4479814,10914282,Virtual Ride,1,"-11.663638,166.9724","-11.66363,166.935571"
12003801,11074442,Ride,1,"-11.855893,-55.709321","-13.043168,-55.258904"
4538155,11470899,Virtual Ride,1,"53.974864,-1.592987","-11.692991,166.925024"
48753153,11495383,Ride,1,"30.209768,74.658014","30.201462,74.896148"
49615879,11495383,Run,1,"30.209768,74.658014","30.257228,75.226891"
1802727,1158227,Ride,1,"46.534864,6.956806","48.179801,13.97666"
850495,1158227,Ride,1,"46.534864,6.956806","45.6763,13.333164"
10282679,1213507,Virtual Ride,1,"-11.673624,166.935539","-11.64727,166.935521"
1428169,1216273,Ride,3,"-11.692993,166.95779","47.422128,9.097119"
1636003,1216273,Ride,2,"-11.692993,166.95779","53.297054,-2.107143"
197359,1216273,Race,3,"-11.692993,166.95779","43.701467,7.322454"
197359,1216273,Ride,1,"-11.692993,166.95779","43.701467,7.322454"
287820,1216273,Ride,24,"-11.692993,166.95779","50.965598,3.88194"
850495,1216273,Ride,4,"-11.692993,166.95779","45.6763,13.333164"
16897653,12731156,Run,1,"-20.717059,-50.232792","41.484171,-74.175103"
18687731,13017516,Ride,2,"-10.93276,-40.134693","-11.387395,-40.433104"
42728766,13312374,Ride,1,"-21.720489,-46.902261","-22.143949,-51.498484"
41905668,13438666,Ride-Commute,1,"28.537731,77.204319","28.481809,77.090442"
183769,13569007,Virtual Ride,1,"-21.744884,166.148257","51.474359,-0.164143"
4384646,13569007,Virtual Ride,1,"-21.744884,166.148257","45.386512,11.151029"
19502642,13908639,Virtual Ride,1,"42.134873,-87.846197","-21.74492,166.14821"
3776487,13908639,Virtual Ride,1,"42.134873,-87.846197","51.484956,-0.164131"
183769,1393263,Virtual Ride,2,"51.683055,-3.086403","51.474359,-0.164143"
566272,1393263,Ride,5,"51.683055,-3.086403","51.523531,-3.157154"
566272,1393263,Virtual Ride,1,"51.683055,-3.086403","51.523531,-3.157154"
33529815,14001473,Run,2,"23.015468,72.448514","23.034763,72.469618"
10713303,14167173,Ride,134,"-17.90795,-40.34974","-17.90795,-40.349699"
10713303,14167173,Walk,2,"-17.90795,-40.34974","-17.90795,-40.349699"
19057907,14167173,Ride,1,"-17.90795,-40.34974","-17.906421,-41.837622"
22921506,14167173,Ride,17,"-17.90795,-40.34974","-17.852146,-40.403852"
1216273,1428169,Race,3,"47.422128,9.097119","-11.692993,166.95779"
1802727,1428169,Ride,2,"47.422128,9.097119","48.179801,13.97666"
3776487,1428169,Virtual Ride,1,"47.422128,9.097119","51.484956,-0.164131"
28412019,14515442,Ride,69,"-16.177279,-42.314699","-16.177293,-42.29793"
28412019,14515442,Ride-Commute,5,"-16.177279,-42.314699","-16.177293,-42.29793"
28412019,14515442,Walk,1,"-16.177279,-42.314699","-16.177293,-42.29793"
20600440,14538785,Run,1,"36.621359,127.452949","5.948996,116.048029"
63342021,14538785,Run,1,"36.621359,127.452949","10.412501,76.075204"
67856270,14538785,Run,1,"36.621359,127.452949","26.901843,75.665524"
850495,1477639,Ride,1,"46.062195,-1.10098","45.6763,13.333164"
6858886,14822117,Virtual Ride,1,"-7.874445,113.228892","-22.315689,-53.89198"
17838364,15173662,Ride,1,"44.426755,10.668582","-6.631342,106.904215"
43811851,15173662,Ride,1,"44.426755,10.668582","13.626302,79.386497"
53754543,15173662,Ride,1,"44.426755,10.668582","23.859666,90.401574"
59765555,15173662,Ride,1,"44.426755,10.668582","49.034776,12.520106"
63144272,15173662,Ride,1,"44.426755,10.668582","40.767138,-73.980198"
65252512,15173662,Ride,1,"44.426755,10.668582","41.35863,2.03545"
8770809,15596297,Ride,1,"-5.935669,-36.610671","-21.8529,-46.578383"
42728766,16016790,Ride,2,"-20.533995,-47.447561","-22.143949,-51.498484"
1216273,1636003,Race,1,"53.297054,-2.107143","-11.692993,166.95779"
287820,1636003,Ride,2,"53.297054,-2.107143","50.965598,3.88194"
850495,1636003,Ride,1,"53.297054,-2.107143","45.6763,13.333164"
36210480,16837710,Ride,1,"-21.771669,-48.26836","26.193558,78.148526"
36210480,16837710,Workout,3,"-21.771669,-48.26836","26.193558,78.148526"
12731156,16897653,Run,1,"41.484171,-74.175103","-20.717059,-50.232792"
17838364,17276725,Run,1,"48.175564,17.072484","-6.631342,106.904215"
32833770,17276725,Long Run,1,"48.175564,17.072484","-6.923554,107.669519"
48700820,17276725,Run,1,"48.175564,17.072484","-27.594782,-48.63488"
54291099,17276725,Run,1,"48.175564,17.072484","48.965703,2.131473"
59765555,17276725,Run,1,"48.175564,17.072484","49.034776,12.520106"
5868171,17613505,Virtual Ride,1,"-34.039738,151.119263","-11.692988,166.925025"
6858886,17613505,Virtual Ride,1,"-34.039738,151.119263","-22.315689,-53.89198"
15173662,17838364,Ride,1,"-6.631342,106.904215","44.426755,10.668582"
17276725,17838364,Run,1,"-6.631342,106.904215","48.175564,17.072484"
32833770,17838364,Long Run,1,"-6.631342,106.904215","-6.923554,107.669519"
38410797,17838364,Race,1,"-6.631342,106.904215","13.062556,77.575391"
39487043,17838364,Long Run,1,"-6.631342,106.904215","23.059105,72.68815"
43811851,17838364,Ride,1,"-6.631342,106.904215","13.626302,79.386497"
48700820,17838364,Run,1,"-6.631342,106.904215","-27.594782,-48.63488"
53754543,17838364,Ride,1,"-6.631342,106.904215","23.859666,90.401574"
54291099,17838364,Run,1,"-6.631342,106.904215","48.965703,2.131473"
59765555,17838364,Ride,1,"-6.631342,106.904215","49.034776,12.520106"
59765555,17838364,Run,1,"-6.631342,106.904215","49.034776,12.520106"
63144272,17838364,Ride,1,"-6.631342,106.904215","40.767138,-73.980198"
65252512,17838364,Ride,1,"-6.631342,106.904215","41.35863,2.03545"
1158227,1802727,Ride,1,"48.179801,13.97666","46.534864,6.956806"
1428169,1802727,Ride,3,"48.179801,13.97666","47.422128,9.097119"
16529034,1802727,Virtual Ride,1,"48.179801,13.97666","35.364698,138.920027"
7429518,1802727,Virtual Ride,1,"48.179801,13.97666","47.128541,0.690571"
850495,1802727,Backcountry Ski,2,"48.179801,13.97666","45.6763,13.333164"
850495,1802727,Hike,2,"48.179801,13.97666","45.6763,13.333164"
850495,1802727,Ride,57,"48.179801,13.97666","45.6763,13.333164"
850495,1802727,Run,1,"48.179801,13.97666","45.6763,13.333164"
850495,1802727,Virtual Ride,2,"48.179801,13.97666","45.6763,13.333164"
20337061,18076360,Run,1,"-34.028734,18.466311","-17.408502,-49.071075"
36477493,18076360,Run,1,"-34.028734,18.466311","-24.008458,-46.413645"
16529034,18170803,Virtual Ride,1,"-11.663626,166.972436","35.364698,138.920027"
29344775,18170803,Virtual Ride,1,"-11.663626,166.972436","-11.663633,166.971787"
7429518,18170803,Workout,1,"-11.663626,166.972436","47.128541,0.690571"
35139284,18334197,Ride,1,"20.999361,77.755532","20.881233,77.743725"
46464940,18334197,Walk,1,"20.999361,77.755532","20.945091,77.77123"
1393263,183769,Virtual Ride,2,"51.474359,-0.164143","51.683055,-3.086403"
2379641,183769,Virtual Ride,2,"51.474359,-0.164143","53.24585,-1.64363"
29226017,183769,Virtual Ride,1,"51.474359,-0.164143","49.655038,12.0168"
4384646,183769,Virtual Ride,1,"51.474359,-0.164143","45.386512,11.151029"
10776847,18486849,Ride,1,"-8.099836,-34.892005","51.400699,-0.34269"
25188939,18486849,Ride,1,"-8.099836,-34.892005","28.58694,77.189708"
37548888,18486849,Ride,1,"-8.099836,-34.892005","40.750256,-73.985473"
44960332,18486849,Ride,1,"-8.099836,-34.892005","5.563518,-0.165915"
63144272,18486849,Ride,1,"-8.099836,-34.892005","40.767138,-73.980198"
14538785,18587711,Run,1,"11.21204,75.751167","36.621359,127.452949"
20600440,18587711,Run,1,"11.21204,75.751167","5.948996,116.048029"
63342021,18587711,Run,1,"11.21204,75.751167","10.412501,76.075204"
67856270,18587711,Run,1,"11.21204,75.751167","26.901843,75.665524"
13017516,18687731,Ride,4,"-11.387395,-40.433104","-10.93276,-40.134693"
38018324,19046703,Ride,1,"18.588987,73.790111","17.996388,74.424141"
49440736,19046703,Ride,1,"18.588987,73.790111","18.633511,73.846357"
10713303,19057907,Ride,1,"-17.906421,-41.837622","-17.90795,-40.349699"
22278352,19087491,Ride,1,"-10.315213,-48.368391","-8.288382,-48.478151"
58529368,196354,Long Run,2,"-36.8754,147.248641","-36.748995,147.145668"
58529368,196354,Ride,1,"-36.8754,147.248641","-36.748995,147.145668"
58529368,196354,Run,4,"-36.8754,147.248641","-36.748995,147.145668"
1216273,197359,Race,1,"43.701467,7.322454","-11.692993,166.95779"
287820,197359,Ride,6,"43.701467,7.322454","50.965598,3.88194"
850495,197359,Ride,6,"43.701467,7.322454","45.6763,13.333164"
1393263,19834139,Virtual Ride,1,"38.93691,-9.40471","51.683055,-3.086403"
46749890,20138258,Ride-Commute,1,"22.685511,75.922242","20.863579,77.669869"
47753313,20138258,Ride,1,"22.685511,75.922242","20.931279,77.775926"
49615879,20138258,Ride,1,"22.685511,75.922242","30.257228,75.226891"
18076360,20337061,Run,1,"-17.408502,-49.071075","-34.028734,18.466311"
36477493,20337061,Run,1,"-17.408502,-49.071075","-24.008458,-46.413645"
8066039,20426266,Long Run,1,"53.599723,-2.541139","54.606659,-3.147885"
8066039,20426266,Race,1,"53.599723,-2.541139","54.606659,-3.147885"
8066039,20426266,Run,73,"53.599723,-2.541139","54.606659,-3.147885"
8066039,20426266,Walk,2,"53.599723,-2.541139","54.606659,-3.147885"
24446447,20500425,Ride,1,"51.968716,1.371882","53.265679,-2.450968"
53281457,20500425,Virtual Ride,1,"51.968716,1.371882","48.860878,2.294195"
14538785,20600440,Run,1,"5.948996,116.048029","36.621359,127.452949"
42663280,20600440,Walk,1,"5.948996,116.048029","2.179631,-73.787393"
63342021,20600440,Run,1,"5.948996,116.048029","10.412501,76.075204"
67856270,20600440,Run,1,"5.948996,116.048029","26.901843,75.665524"
8505007,20843484,Run,1,"25.324348,55.37566","-24.217796,-50.93149"
24469089,21113544,Ride,1,"51.500441,-0.149711","59.646258,34.239796"
24469089,21113544,Run,1,"51.500441,-0.149711","59.646258,34.239796"
26871730,21113544,Run,1,"51.500441,-0.149711","59.646168,34.190678"
27586576,21113544,Run,1,"51.500441,-0.149711","50.095671,20.022881"
34185291,21113544,Run,1,"51.500441,-0.149711","34.953396,-2.351323"
38018324,21113544,Walk,1,"51.500441,-0.149711","17.996388,74.424141"
39438608,21113544,Ride,1,"51.500441,-0.149711","67.158643,32.378278"
39438608,21113544,Run,1,"51.500441,-0.149711","67.158643,32.378278"
40110376,21113544,Ride,1,"51.500441,-0.149711","59.613319,34.249181"
42663280,21113544,Walk,1,"51.500441,-0.149711","2.179631,-73.787393"
42728766,21113544,Walk,1,"51.500441,-0.149711","-22.143949,-51.498484"
66336642,21113544,Walk,1,"51.500441,-0.149711","48.126634,-1.295539"
7809648,21141420,Ride,1,"-20.728334,-48.574476","-20.713586,-48.574468"
10914282,21184773,Virtual Ride,1,"-11.663628,166.97252","-11.663638,166.9724"
13569007,21184773,Virtual Ride,1,"-11.663628,166.97252","-21.744884,166.148257"
4479814,21184773,Workout,1,"-11.663628,166.97252","-11.66363,166.935571"
42728766,21367562,Ride,1,"-15.960914,-49.513228","-22.143949,-51.498484"
11470899,218761,Virtual Ride,1,"-10.775159,165.830066","53.974864,-1.592987"
51805378,218761,Virtual Ride,1,"-10.775159,165.830066","-11.663628,166.971654"
19087491,22278352,Ride,1,"-8.288382,-48.478151","-10.315213,-48.368391"
38971489,22359980,Ride,2,"-14.089864,-52.236745","-13.206274,-53.257711"
42728766,22670057,Ride,1,"-9.986938,-67.910694","-22.143949,-51.498484"
42728766,22670057,Run,1,"-9.986938,-67.910694","-22.143949,-51.498484"
4394938,22670057,Ride,1,"-9.986938,-67.910694","-10.029011,-67.863414"
24469089,22752753,Ride,1,"50.280729,18.832551","59.646258,34.239796"
9265559,22858079,Race,1,"-23.342096,-46.773809","-23.953318,-46.8046"
10713303,22921506,Ride,12,"-17.852146,-40.403852","-17.90795,-40.349699"
14167173,22921506,Ride,17,"-17.852146,-40.403852","-17.90795,-40.34974"
32833770,22936334,Run,1,"-22.422918,-42.977157","-6.923554,107.669519"
42663280,22936334,Run,1,"-22.422918,-42.977157","2.179631,-73.787393"
42663280,22936334,Workout,1,"-22.422918,-42.977157","2.179631,-73.787393"
42728766,22954077,Run,1,"-22.90828,-47.043333","-22.143949,-51.498484"
23500475,23251623,Run,2,"4.169247,73.500741","4.169296,73.500749"
23251623,23500475,Run,2,"4.169296,73.500749","4.169247,73.500741"
3250490,23500475,Virtual Ride,1,"4.169296,73.500749","-18.47589,-47.33571"
6858886,23500475,Ride,1,"4.169296,73.500749","-22.315689,-53.89198"
183769,2379641,Virtual Ride,3,"53.24585,-1.64363","51.474359,-0.164143"
20500425,24446447,Ride,1,"53.265679,-2.450968","51.968716,1.371882"
21113544,24469089,Ride,1,"59.646258,34.239796","51.500441,-0.149711"
21113544,24469089,Run,1,"59.646258,34.239796","51.500441,-0.149711"
34185291,24469089,Run,1,"59.646258,34.239796","34.953396,-2.351323"
39438608,24469089,Ride,1,"59.646258,34.239796","67.158643,32.378278"
39438608,24469089,Run,1,"59.646258,34.239796","67.158643,32.378278"
40110376,24469089,Ride,1,"59.646258,34.239796","59.613319,34.249181"
27857796,24991613,Ride,1,"14.512231,121.140419","7.057529,125.569271"
10776847,25188939,Ride,1,"28.58694,77.189708","51.400699,-0.34269"
18486849,25188939,Ride,1,"28.58694,77.189708","-8.099836,-34.892005"
25246405,25188939,Ride,1,"28.58694,77.189708","30.03364,74.918103"
37548888,25188939,Ride,1,"28.58694,77.189708","40.750256,-73.985473"
44960332,25188939,Ride,1,"28.58694,77.189708","5.563518,-0.165915"
63144272,25188939,Ride,1,"28.58694,77.189708","40.767138,-73.980198"
25188939,25246405,Ride,1,"30.03364,74.918103","28.58694,77.189708"
42497175,25246405,Ride,1,"30.03364,74.918103","22.703103,75.811878"
48570568,25246405,Walk,1,"30.03364,74.918103","37.986164,-1.105562"
48987940,25246405,Walk,1,"30.03364,74.918103","20.071479,77.949207"
38830041,25387817,Ride,1,"-25.610737,-49.298929","-11.382709,-41.863286"
9325094,25387817,Ride,1,"-25.610737,-49.298929","-21.131125,-48.957986"
43811851,25996313,Ride,1,"43.584622,7.121396","13.626302,79.386497"
59765555,25996313,Ride,1,"43.584622,7.121396","49.034776,12.520106"
49440736,26453537,Ride,22,"18.633606,73.849254","18.633511,73.846357"
49440736,26453537,Workout,2,"18.633606,73.849254","18.633511,73.846357"
52172855,26453537,Ride,3,"18.633606,73.849254","18.620527,73.850912"
52172855,26453537,Workout,4,"18.633606,73.849254","18.620527,73.850912"
21113544,26871730,Run,1,"59.646168,34.190678","51.500441,-0.149711"
27586576,26871730,Run,1,"59.646168,34.190678","50.095671,20.022881"
7733163,27028898,Ride,1,"11.665436,77.969807","12.890109,77.589162"
27112113,27128031,Ride,63,"18.435828,74.568253","18.425928,74.464883"
27112113,27128031,Walk,1,"18.435828,74.568253","18.425928,74.464883"
42663280,27128031,Ride,1,"18.435828,74.568253","2.179631,-73.787393"
43210132,27128031,Ride,1,"18.435828,74.568253","20.867758,77.734201"
48570568,27128031,Ride,1,"18.435828,74.568253","37.986164,-1.105562"
49165714,27128031,Ride,1,"18.435828,74.568253","30.910079,75.844503"
56856752,27128031,Ride,1,"18.435828,74.568253","9.985011,76.250384"
67965418,27128031,Ride,1,"18.435828,74.568253","10.078529,76.33982"
42728766,27135451,Run,1,"-24.009549,-46.41367","-22.143949,-51.498484"
36395859,27411741,Run,1,"33.482906,-97.559499","43.369201,-8.410271"
21113544,27586576,Run,1,"50.095671,20.022881","51.500441,-0.149711"
26871730,27586576,Run,1,"50.095671,20.022881","59.646168,34.190678"
24469089,27758226,Ride,1,"60.645705,30.199749","59.646258,34.239796"
24469089,27758226,Run,1,"60.645705,30.199749","59.646258,34.239796"
34185291,27758226,Run,1,"60.645705,30.199749","34.953396,-2.351323"
39438608,27758226,Ride,1,"60.645705,30.199749","67.158643,32.378278"
39438608,27758226,Run,1,"60.645705,30.199749","67.158643,32.378278"
40110376,27758226,Ride,1,"60.645705,30.199749","59.613319,34.249181"
32050295,27852271,Walk,1,"57.804169,28.326591","40.313883,-3.863523"
37468550,27852271,Walk,1,"57.804169,28.326591","48.117115,-1.35993"
41624849,27852271,Walk,1,"57.804169,28.326591","31.607748,74.92357"
42663280,27852271,Run,1,"57.804169,28.326591","2.179631,-73.787393"
42663280,27852271,Walk,1,"57.804169,28.326591","2.179631,-73.787393"
44535592,27852271,Walk,1,"57.804169,28.326591","28.247122,76.890111"
61076048,27852271,Run,1,"57.804169,28.326591","37.986164,-1.105562"
66336642,27852271,Walk,1,"57.804169,28.326591","48.126634,-1.295539"
7256312,27852271,Walk,1,"57.804169,28.326591","-23.591318,-46.781267"
24991613,27857796,Ride,1,"7.057529,125.569271","14.512231,121.140419"
36191407,27941646,Ride,2,"19.251997,76.721829","19.146732,76.533761"
36377632,27941646,Canoe,1,"19.251997,76.721829","37.986409,-1.112164"
36377632,27941646,Ride,1,"19.251997,76.721829","37.986409,-1.112164"
37126638,27941646,Canoe,1,"19.251997,76.721829","28.562882,77.028811"
37126638,27941646,Ride,1,"19.251997,76.721829","28.562882,77.028811"
48570568,27941646,Ride,2,"19.251997,76.721829","37.986164,-1.105562"
49615879,27941646,Ride,1,"19.251997,76.721829","30.257228,75.226891"
62426316,28061979,Run,1,"30.683926,76.868821","28.632643,77.336374"
14515442,28412019,Ride,71,"-16.177293,-42.29793","-16.177279,-42.314699"
14515442,28412019,Ride-Commute,3,"-16.177293,-42.29793","-16.177279,-42.314699"
14515442,28412019,Walk,1,"-16.177293,-42.29793","-16.177279,-42.314699"
35431018,28423469,Handcycle,5,"18.703812,73.789975","18.755073,73.846402"
35431018,28423469,Ride,1,"18.703812,73.789975","18.755073,73.846402"
1216273,287820,Race,14,"50.965598,3.88194","-11.692993,166.95779"
1216273,287820,Ride,1,"50.965598,3.88194","-11.692993,166.95779"
1636003,287820,Ride,3,"50.965598,3.88194","53.297054,-2.107143"
197359,287820,Race,3,"50.965598,3.88194","43.701467,7.322454"
197359,287820,Ride,3,"50.965598,3.88194","43.701467,7.322454"
850495,287820,Ride,4,"50.965598,3.88194","45.6763,13.333164"
183769,29226017,Virtual Ride,1,"49.655038,12.0168","51.474359,-0.164143"
3776487,29226017,Virtual Ride,1,"49.655038,12.0168","51.484956,-0.164131"
9645515,29226017,Virtual Ride,1,"49.655038,12.0168","-21.744888,166.148247"
16880961,29344775,Virtual Ride,1,"-11.663633,166.971787","47.256544,11.386428"
2379641,29344775,Virtual Ride,1,"-11.663633,166.971787","53.24585,-1.64363"
32833770,29388206,Run,1,"48.860875,2.294179","-6.923554,107.669519"
33718479,29388206,Run,1,"48.860875,2.294179","22.298009,70.78667"
183769,29702121,Virtual Ride,1,"11.653074,78.112127","51.474359,-0.164143"
27028898,29702121,Ride,1,"11.653074,78.112127","11.665436,77.969807"
35405838,29702121,Virtual Ride,1,"11.653074,78.112127","50.723545,-2.328947"
7733163,29702121,Ride,1,"11.653074,78.112127","12.890109,77.589162"
4538155,3015885,Virtual Ride,1,"-11.662331,166.935547","-11.692991,166.925024"
33718479,30511551,Run,1,"31.274219,75.595411","22.298009,70.78667"
38410797,30511551,Race,1,"31.274219,75.595411","13.062556,77.575391"
49615879,30511551,Run,1,"31.274219,75.595411","30.257228,75.226891"
59765555,30932242,Ride,1,"-16.685372,-44.493775","49.034776,12.520106"
34185291,31155102,Ride,1,"37.990192,-1.11172","34.953396,-2.351323"
4538155,31494763,Virtual Ride,1,"-11.692495,166.88756","-11.692991,166.925024"
42728766,31842995,Ride,1,"2.480933,-76.586239","-22.143949,-51.498484"
27852271,32050295,Walk,1,"40.313883,-3.863523","57.804169,28.326591"
37468550,32050295,Walk,1,"40.313883,-3.863523","48.117115,-1.35993"
41624849,32050295,Walk,1,"40.313883,-3.863523","31.607748,74.92357"
42663280,32050295,Ride,1,"40.313883,-3.863523","2.179631,-73.787393"
42663280,32050295,Virtual Ride,1,"40.313883,-3.863523","2.179631,-73.787393"
42663280,32050295,Walk,1,"40.313883,-3.863523","2.179631,-73.787393"
44535592,32050295,Walk,1,"40.313883,-3.863523","28.247122,76.890111"
63468828,32050295,Ride,1,"40.313883,-3.863523","31.030423,29.781819"
66336642,32050295,Walk,1,"40.313883,-3.863523","48.126634,-1.295539"
68151274,32050295,Ride,1,"40.313883,-3.863523","37.705679,-121.947085"
7256312,32050295,Walk,1,"40.313883,-3.863523","-23.591318,-46.781267"
23500475,3250490,Virtual Ride,1,"-18.47589,-47.33571","4.169296,73.500749"
49025062,3250490,Ride,5,"-18.47589,-47.33571","-18.504967,-47.199347"
49025062,3250490,Workout,10,"-18.47589,-47.33571","-18.504967,-47.199347"
17276725,32833770,Run,1,"-6.923554,107.669519","48.175564,17.072484"
17838364,32833770,Run,1,"-6.923554,107.669519","-6.631342,106.904215"
22936334,32833770,Run,1,"-6.923554,107.669519","-22.422918,-42.977157"
29388206,32833770,Run,1,"-6.923554,107.669519","48.860875,2.294179"
33718479,32833770,Run,2,"-6.923554,107.669519","22.298009,70.78667"
38410797,32833770,Race,1,"-6.923554,107.669519","13.062556,77.575391"
44535592,32833770,Run,2,"-6.923554,107.669519","28.247122,76.890111"
48700820,32833770,Run,1,"-6.923554,107.669519","-27.594782,-48.63488"
54291099,32833770,Run,1,"-6.923554,107.669519","48.965703,2.131473"
59765555,32833770,Run,2,"-6.923554,107.669519","49.034776,12.520106"
9925591,32833770,Run,2,"-6.923554,107.669519","51.466202,-0.298114"
21113544,33225579,Ride,1,"20.10756,77.135224","51.500441,-0.149711"
25188939,33225579,Ride,1,"20.10756,77.135224","28.58694,77.189708"
25246405,33225579,Ride,1,"20.10756,77.135224","30.03364,74.918103"
49440736,33225579,Ride,1,"20.10756,77.135224","18.633511,73.846357"
49615879,33225579,Ride,1,"20.10756,77.135224","30.257228,75.226891"
52172855,33225579,Workout,1,"20.10756,77.135224","18.620527,73.850912"
56856752,33225579,Ride,1,"20.10756,77.135224","9.985011,76.250384"
65252512,33225579,Ride,1,"20.10756,77.135224","41.35863,2.03545"
14001473,33529815,Run,1,"23.034763,72.469618","23.015468,72.448514"
38018324,33529815,Ride,1,"23.034763,72.469618","17.996388,74.424141"
29388206,33718479,Run,1,"22.298009,70.78667","48.860875,2.294179"
32833770,33718479,Run,2,"22.298009,70.78667","-6.923554,107.669519"
44535592,33718479,Run,1,"22.298009,70.78667","28.247122,76.890111"
